Nome;Email;Fone;Endereço;Latitude;Longitude
Hospital Agamenon Magalhães;diger.ham@saude.pe.gov.br;8131841690;Estrada do Arraial, 2.723 - Casa Amarela;-8.030070172007266;-34.90717212051717
Hospital Barão de Lucena;barao@gmail.com;8131846552;Avenida Caxangá, 3.860 - Iputinga;-8.03831211726606;-34.93896434748636
CISAM - UPE - Unidade Hospitalar;telessaude.cisam@upe.br;8131827720;Avenida Visconde de Mamanguape S/N - Encruzilhada;-8.037518805977635;-34.88822154750367
Hospital das Clínicas de Pernambuco;clinicper@gmail.com;8121263831;Avenida Professor Moraes Rego, 1.235 - Cidade Universitária;-8.04724397461705;-34.94635812051702
IMIP Instituto de Medicina Integral Professor Fernando Figueira;ouvidoria@imip.org.br;8121224719;Rua dos Coelhos, 300 - Boa Vista;-8.06670476111895;-34.89025414750333
Maternidade Professor Bandeira Filho;fessor@gmail.com;8133552235;Rua Londrina, S/N - Afogados;-8.078764144777047;-34.910657718667665
Hospital da Mulher do Recife (HMR);hospm@gmail.com;8120110100;Rodovia BR - 101 SUL, 485 - Curado;-8.070275062898332;-34.94110184750319
Hospital Português maternidade;hospor@gmail.com;8134161069;Av. Governador Agamenon Magalhães, 4.760 - Paissandu;-8.06439279917778;-34.89829859782301
Hospital Materno Infantil da UNIMED;unimed@gmail.com;8134137935;Av. Lins Petit, 161 - Boa Vista, Recife - PE, 50070-235;-8.061151663081015;-34.89483975942088
Hospital Maternidade Regional Jesus Nazareno;nazareno@gmail.com;8137199338;Rua Ana Maria da Silva Brasileirinho, s/n - Maurício de Nassau, Caruaru - PE;-8.269939429128142;-35.9741946916777
Hospital Dom Malan;doma@gmail.com;8732027000;R. Joaquim Nabuco, s/n - Centro, Petrolina - PE;-9.394560731719572;-40.49955898980865
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
